Area,Item,Tonnes,Item,Tonnes
Colombia,Agave fibres nes,15344,Agave fibres nes Sum,40621
Cuba,Agave fibres nes,3522,"Almonds, with shell",32843
Ecuador,Agave fibres nes,4311,"Almonds, with shell",66095
El Salvador,Agave fibres nes,2115,"Almonds, with shell",697
Guatemala,Agave fibres nes,112,"Almonds, with shell",72902
Mexico,Agave fibres nes,5951,"Almonds, with shell",1059
Nicaragua,Agave fibres nes,5274,"Almonds, with shell",59
Philippines,Agave fibres nes,3992,"Almonds, with shell",841
,Agave fibres nes Sum,15344,"Almonds, with shell",1514
Afghanistan,"Almonds, with shell",32843,"Almonds, with shell",31938
Algeria,"Almonds, with shell",66095,"Almonds, with shell",47875
Argentina,"Almonds, with shell",697,"Almonds, with shell",47875
Australia,"Almonds, with shell",72902,"Almonds, with shell",1781
Azerbaijan,"Almonds, with shell",1059,"Almonds, with shell",233
Bosnia and Herzegovina,"Almonds, with shell",59,"Almonds, with shell",316
Bulgaria,"Almonds, with shell",841,"Almonds, with shell",667
Burkina Faso,"Almonds, with shell",1514,"Almonds, with shell",961
Chile,"Almonds, with shell",31938,"Almonds, with shell",29450
China,"Almonds, with shell",47875,"Almonds, with shell",144
"China, mainland","Almonds, with shell",47875,"Almonds, with shell",147863
C??te d'Ivoire,"Almonds, with shell",1781,"Almonds, with shell",472
Croatia,"Almonds, with shell",233,"Almonds, with shell",8500
Cyprus,"Almonds, with shell",316,"Almonds, with shell",74584
France,"Almonds, with shell",667,"Almonds, with shell",3498
Georgia,"Almonds, with shell",961,"Almonds, with shell",149
Greece,"Almonds, with shell",29450,"Almonds, with shell",1874
Hungary,"Almonds, with shell",144,"Almonds, with shell",32115
Iran (Islamic Republic of),"Almonds, with shell",147863,"Almonds, with shell",33838
Iraq,"Almonds, with shell",472,"Almonds, with shell",44
Israel,"Almonds, with shell",8500,"Almonds, with shell",112681
Italy,"Almonds, with shell",74584,"Almonds, with shell",9
Jordan,"Almonds, with shell",3498,"Almonds, with shell",4136
Kazakhstan,"Almonds, with shell",149,"Almonds, with shell",21520
Kyrgyzstan,"Almonds, with shell",1874,"Almonds, with shell",8713
Lebanon,"Almonds, with shell",32115,"Almonds, with shell",616
Libya,"Almonds, with shell",33838,"Almonds, with shell",1
Mexico,"Almonds, with shell",44,"Almonds, with shell",202339
Morocco,"Almonds, with shell",112681,"Almonds, with shell",1046
Nepal,"Almonds, with shell",9,"Almonds, with shell",88841
Occupied Palestinian Territory,"Almonds, with shell",4136,"Almonds, with shell",3255
Pakistan,"Almonds, with shell",21520,"Almonds, with shell",672
Portugal,"Almonds, with shell",8713,"Almonds, with shell",61000
Republic of Moldova,"Almonds, with shell",616,"Almonds, with shell",85000
Slovenia,"Almonds, with shell",1,"Almonds, with shell",1065
Spain,"Almonds, with shell",202339,"Almonds, with shell",0
Swaziland,"Almonds, with shell",1046,"Almonds, with shell",873
Syrian Arab Republic,"Almonds, with shell",88841,"Almonds, with shell",2002742
Tajikistan,"Almonds, with shell",3255,"Almonds, with shell",27321
The former Yugoslav Republic of Macedonia,"Almonds, with shell",672,"Almonds, with shell",164
Tunisia,"Almonds, with shell",61000,"Almonds, with shell Sum",3262181
Turkey,"Almonds, with shell",85000,"Anise, badian, fennel, coriander",14018
Turkmenistan,"Almonds, with shell",1065,"Anise, badian, fennel, coriander",2706
Ukraine,"Almonds, with shell",0,"Anise, badian, fennel, coriander",1200
United Arab Emirates,"Almonds, with shell",873,"Anise, badian, fennel, coriander",
United States of America,"Almonds, with shell",2002742,"Anise, badian, fennel, coriander",740
Uzbekistan,"Almonds, with shell",27321,"Anise, badian, fennel, coriander",39630
Yemen,"Almonds, with shell",164,"Anise, badian, fennel, coriander",12478
,"Almonds, with shell Sum",61000,"Anise, badian, fennel, coriander",53295
Afghanistan,"Anise, badian, fennel, coriander",14018,"Anise, badian, fennel, coriander",53295
Argentina,"Anise, badian, fennel, coriander",2706,"Anise, badian, fennel, coriander",0
Australia,"Anise, badian, fennel, coriander",1200,"Anise, badian, fennel, coriander",44
Bangladesh,"Anise, badian, fennel, coriander",,"Anise, badian, fennel, coriander",11
Bosnia and Herzegovina,"Anise, badian, fennel, coriander",740,"Anise, badian, fennel, coriander",26619
Bulgaria,"Anise, badian, fennel, coriander",39630,"Anise, badian, fennel, coriander",3398
Canada,"Anise, badian, fennel, coriander",12478,"Anise, badian, fennel, coriander",41
China,"Anise, badian, fennel, coriander",53295,"Anise, badian, fennel, coriander",699
"China, mainland","Anise, badian, fennel, coriander",53295,"Anise, badian, fennel, coriander",2232
Cyprus,"Anise, badian, fennel, coriander",0,"Anise, badian, fennel, coriander",3872
Denmark,"Anise, badian, fennel, coriander",44,"Anise, badian, fennel, coriander",632000
Ecuador,"Anise, badian, fennel, coriander",11,"Anise, badian, fennel, coriander",63128
Egypt,"Anise, badian, fennel, coriander",26619,"Anise, badian, fennel, coriander",
Ethiopia,"Anise, badian, fennel, coriander",3398,"Anise, badian, fennel, coriander",82
Georgia,"Anise, badian, fennel, coriander",41,"Anise, badian, fennel, coriander",89
Greece,"Anise, badian, fennel, coriander",699,"Anise, badian, fennel, coriander",7248
Guatemala,"Anise, badian, fennel, coriander",2232,"Anise, badian, fennel, coriander",16
Hungary,"Anise, badian, fennel, coriander",3872,"Anise, badian, fennel, coriander",83
India,"Anise, badian, fennel, coriander",632000,"Anise, badian, fennel, coriander",74793
Iran (Islamic Republic of),"Anise, badian, fennel, coriander",63128,"Anise, badian, fennel, coriander",24515
Italy,"Anise, badian, fennel, coriander",,"Anise, badian, fennel, coriander",301
Kenya,"Anise, badian, fennel, coriander",82,"Anise, badian, fennel, coriander",195
Lebanon,"Anise, badian, fennel, coriander",89,"Anise, badian, fennel, coriander",258
Lithuania,"Anise, badian, fennel, coriander",7248,"Anise, badian, fennel, coriander",0
Madagascar,"Anise, badian, fennel, coriander",16,"Anise, badian, fennel, coriander",5627
Malawi,"Anise, badian, fennel, coriander",83,"Anise, badian, fennel, coriander",91415
Mexico,"Anise, badian, fennel, coriander",74793,"Anise, badian, fennel, coriander",1000
Morocco,"Anise, badian, fennel, coriander",24515,"Anise, badian, fennel, coriander",234
Netherlands,"Anise, badian, fennel, coriander",301,"Anise, badian, fennel, coriander",2557
Occupied Palestinian Territory,"Anise, badian, fennel, coriander",195,"Anise, badian, fennel, coriander",47883
Peru,"Anise, badian, fennel, coriander",258,"Anise, badian, fennel, coriander",1018
Poland,"Anise, badian, fennel, coriander",0,"Anise, badian, fennel, coriander",10389
Romania,"Anise, badian, fennel, coriander",5627,"Anise, badian, fennel, coriander",30583
Russian Federation,"Anise, badian, fennel, coriander",91415,"Anise, badian, fennel, coriander",25040
Serbia,"Anise, badian, fennel, coriander",1000,"Anise, badian, fennel, coriander",1335
Slovakia,"Anise, badian, fennel, coriander",234,"Anise, badian, fennel, coriander",4512
Spain,"Anise, badian, fennel, coriander",2557,"Anise, badian, fennel, coriander",97
Syrian Arab Republic,"Anise, badian, fennel, coriander",47883,"Anise, badian, fennel, coriander Sum",1238676
The former Yugoslav Republic of Macedonia,"Anise, badian, fennel, coriander",1018,Apples,140903
Tunisia,"Anise, badian, fennel, coriander",10389,Apples,101532
Turkey,"Anise, badian, fennel, coriander",30583,Apples,503303
Ukraine,"Anise, badian, fennel, coriander",25040,Apples,967847
United Republic of Tanzania,"Anise, badian, fennel, coriander",1335,Apples,62574
Viet Nam,"Anise, badian, fennel, coriander",4512,Apples,308298
Zimbabwe,"Anise, badian, fennel, coriander",97,Apples,101667
,"Anise, badian, fennel, coriander Sum",47883,Apples,254296
Afghanistan,Apples,140903,Apples,509264
Albania,Apples,101532,Apples,238244
Algeria,Apples,503303,Apples,7730
Argentina,Apples,967847,Apples,2578
Armenia,Apples,62574,Apples,69062
Australia,Apples,308298,Apples,1049251
Austria,Apples,101667,Apples,44755
Azerbaijan,Apples,254296,Apples,356863
Belarus,Apples,509264,Apples,1759421
Belgium,Apples,238244,Apples,44448575
Bhutan,Apples,7730,Apples,44447793
Bolivia (Plurinational State of),Apples,2578,Apples,782
Bosnia and Herzegovina,Apples,69062,Apples,2302
Brazil,Apples,1049251,Apples,44781
Bulgaria,Apples,44755,Apples,3590
Canada,Apples,356863,Apples,124997
Chile,Apples,1759421,Apples,779490
China,Apples,44448575,Apples,36470
"China, mainland",Apples,44447793,Apples,7030
"China, Taiwan Province of",Apples,782,Apples,731454
Colombia,Apples,2302,Apples,51714
Croatia,Apples,44781,Apples,5497
Cyprus,Apples,3590,Apples,6401
Czechia,Apples,124997,Apples,1819762
Democratic People's Republic of Korea,Apples,779490,Apples,65200
Denmark,Apples,36470,Apples,1032913
Ecuador,Apples,7030,Apples,256483
Egypt,Apples,731454,Apples,444
El Salvador,Apples,51714,Apples,26499
Estonia,Apples,5497,Apples,181
Finland,Apples,6401,Apples,506523
France,Apples,1819762,Apples,2872000
Georgia,Apples,65200,Apples,2799197
Germany,Apples,1032913,Apples,44495
Greece,Apples,256483,Apples,21800
Grenada,Apples,444,Apples,100000
Guatemala,Apples,26499,Apples,2455616
Honduras,Apples,181,Apples,765000
Hungary,Apples,506523,Apples,55197
India,Apples,2872000,Apples,188099
Iran (Islamic Republic of),Apples,2799197,Apples,623
Iraq,Apples,44495,Apples,135554
Ireland,Apples,21800,Apples,9854
Israel,Apples,100000,Apples,125111
Italy,Apples,2455616,Apples,21479
Japan,Apples,765000,Apples,68434
Jordan,Apples,55197,Apples,2419
Kazakhstan,Apples,188099,Apples,7091
Kenya,Apples,623,Apples,16
Kyrgyzstan,Apples,135554,Apples,716931
Latvia,Apples,9854,Apples,5541
Lebanon,Apples,125111,Apples,406379
Libya,Apples,21479,Apples,41011
Lithuania,Apples,68434,Apples,317000
Luxembourg,Apples,2419,Apples,411683
Madagascar,Apples,7091,Apples,12356
Malta,Apples,16,Apples,889
Mexico,Apples,716931,Apples,590039
Montenegro,Apples,5541,Apples,683
Morocco,Apples,406379,Apples,158098
Nepal,Apples,41011,Apples,3604271
Netherlands,Apples,317000,Apples,241611
New Zealand,Apples,411683,Apples,576369
Norway,Apples,12356,Apples,411768
Occupied Palestinian Territory,Apples,889,Apples,65
Pakistan,Apples,590039,Apples,467259
Paraguay,Apples,683,Apples,1843544
Peru,Apples,158098,Apples,1046
Poland,Apples,3604271,Apples,328369
Portugal,Apples,241611,Apples,20722
Republic of Korea,Apples,576369,Apples,59573
Republic of Moldova,Apples,411768,Apples,918085
R??union,Apples,65,Apples,592970
Romania,Apples,467259,Apples,26280
Russian Federation,Apples,1843544,Apples,226487
Saint Vincent and the Grenadines,Apples,1046,Apples,351025
Serbia,Apples,328369,Apples,222898
Slovakia,Apples,20722,Apples,101088
Slovenia,Apples,59573,Apples,126000
South Africa,Apples,918085,Apples,2925828
Spain,Apples,592970,Apples,93551
Sweden,Apples,26280,Apples,1099240
Switzerland,Apples,226487,Apples,481100
Syrian Arab Republic,Apples,351025,Apples,4649323
Tajikistan,Apples,222898,Apples,37675
The former Yugoslav Republic of Macedonia,Apples,101088,Apples,1120209
Tunisia,Apples,126000,Apples,35550
Turkey,Apples,2925828,Apples,6787
Turkmenistan,Apples,93551,Apples Sum,133777757
Ukraine,Apples,1099240,Apricots,17894
United Kingdom,Apples,481100,Apricots,5194
United States of America,Apples,4649323,Apricots,256771
Uruguay,Apples,37675,Apricots,27314
Uzbekistan,Apples,1120209,Apricots,62054
Yemen,Apples,35550,Apricots,8700
Zimbabwe,Apples,6787,Apricots,5257
,Apples Sum,93551,Apricots,25387
Afghanistan,Apricots,17894,Apricots,24
Albania,Apricots,5194,Apricots,1000
Algeria,Apricots,256771,Apricots,15503
Argentina,Apricots,27314,Apricots,905
Armenia,Apricots,62054,Apricots,655
Australia,Apricots,8700,Apricots,8967
Austria,Apricots,5257,Apricots,73821
Azerbaijan,Apricots,25387,Apricots,57208
Bhutan,Apricots,24,Apricots,16613
Bosnia and Herzegovina,Apricots,1000,Apricots,603
Bulgaria,Apricots,15503,Apricots,813
Cameroon,Apricots,905,Apricots,782
Canada,Apricots,655,Apricots,368
Chile,Apricots,8967,Apricots,102247
China,Apricots,73821,Apricots,110850
"China, mainland",Apricots,57208,Apricots,1500
"China, Taiwan Province of",Apricots,16613,Apricots,182
Croatia,Apricots,603,Apricots,79070
Cyprus,Apricots,813,Apricots,25
Czechia,Apricots,782,Apricots,21108
Ecuador,Apricots,368,Apricots,15072
Egypt,Apricots,102247,Apricots,306115
France,Apricots,110850,Apricots,13871
Georgia,Apricots,1500,Apricots,6500
Germany,Apricots,182,Apricots,237021
Greece,Apricots,79070,Apricots,92700
Guadeloupe,Apricots,25,Apricots,10959
Hungary,Apricots,21108,Apricots,18630
India,Apricots,15072,Apricots,77
Iran (Islamic Republic of),Apricots,306115,Apricots,23984
Iraq,Apricots,13871,Apricots,22983
Israel,Apricots,6500,Apricots,24901
Italy,Apricots,237021,Apricots,1422
Japan,Apricots,92700,Apricots,21
Jordan,Apricots,10959,Apricots,848
Kazakhstan,Apricots,18630,Apricots,71156
Kenya,Apricots,77,Apricots,2767
Kyrgyzstan,Apricots,23984,Apricots,2831
Lebanon,Apricots,22983,Apricots,1066
Libya,Apricots,24901,Apricots,177658
Madagascar,Apricots,1422,Apricots,254
Malta,Apricots,21,Apricots,3073
Mexico,Apricots,848,Apricots,2330
Morocco,Apricots,71156,Apricots,21439
Nepal,Apricots,2767,Apricots,30726
New Zealand,Apricots,2831,Apricots,65841
Occupied Palestinian Territory,Apricots,1066,Apricots,23902
Pakistan,Apricots,177658,Apricots,232
Peru,Apricots,254,Apricots,961
Poland,Apricots,3073,Apricots,25831
Portugal,Apricots,2330,Apricots,125335
Republic of Moldova,Apricots,21439,Apricots,8912
Romania,Apricots,30726,Apricots,68225
Russian Federation,Apricots,65841,Apricots,31838
Serbia,Apricots,23902,Apricots,3471
Slovakia,Apricots,232,Apricots,31000
Slovenia,Apricots,961,Apricots,730000
South Africa,Apricots,25831,Apricots,41997
Spain,Apricots,125335,Apricots,81290
Switzerland,Apricots,8912,Apricots,64050
Syrian Arab Republic,Apricots,68225,Apricots,662123
Tajikistan,Apricots,31838,Apricots,754
The former Yugoslav Republic of Macedonia,Apricots,3471,Apricots,44
Tunisia,Apricots,31000,Apricots Sum,3955025
Turkey,Apricots,730000,Areca nuts,121113
Turkmenistan,Apricots,41997,Areca nuts,9858
Ukraine,Apricots,81290,Areca nuts,99992
United States of America,Apricots,64050,Areca nuts,99992
Uzbekistan,Apricots,662123,Areca nuts,703000
Yemen,Apricots,754,Areca nuts,54057
Zimbabwe,Apricots,44,Areca nuts,114
,Apricots Sum,31000,Areca nuts,312
Bangladesh,Areca nuts,121113,Areca nuts,22
Bhutan,Areca nuts,9858,Areca nuts,129170
China,Areca nuts,99992,Areca nuts,14225
"China, Taiwan Province of",Areca nuts,99992,Areca nuts,44059
India,Areca nuts,703000,Areca nuts,38141
Indonesia,Areca nuts,54057,Areca nuts Sum,1314055
Kenya,Areca nuts,114,Artichokes,97139
Malaysia,Areca nuts,312,Artichokes,107257
Maldives,Areca nuts,22,Artichokes,11363
Myanmar,Areca nuts,129170,Artichokes,85532
Nepal,Areca nuts,14225,Artichokes,85532
Sri Lanka,Areca nuts,44059,Artichokes,24
Thailand,Areca nuts,38141,Artichokes,2275
,Areca nuts Sum,54057,Artichokes,236314
Algeria,Artichokes,97139,Artichokes,45914
Argentina,Artichokes,107257,Artichokes,13211
Chile,Artichokes,11363,Artichokes,17600
China,Artichokes,85532,Artichokes,2693
"China, mainland",Artichokes,85532,Artichokes,365991
Costa Rica,Artichokes,24,Artichokes,0
Cyprus,Artichokes,2275,Artichokes,894
Egypt,Artichokes,236314,Artichokes,16
France,Artichokes,45914,Artichokes,675
Greece,Artichokes,13211,Artichokes,56
Iran (Islamic Republic of),Artichokes,17600,Artichokes,1486
Israel,Artichokes,2693,Artichokes,2920
Italy,Artichokes,365991,Artichokes,44144
Jordan,Artichokes,0,Artichokes,14
Kazakhstan,Artichokes,894,Artichokes,108801
Kenya,Artichokes,16,Artichokes,276
Lebanon,Artichokes,675,Artichokes,679
Lithuania,Artichokes,56,Artichokes,185796
Malta,Artichokes,1486,Artichokes,3
Mexico,Artichokes,2920,Artichokes,9438
Morocco,Artichokes,44144,Artichokes,26000
Occupied Palestinian Territory,Artichokes,14,Artichokes,36368
Peru,Artichokes,108801,Artichokes,44720
R??union,Artichokes,276,Artichokes,3867
Romania,Artichokes,679,Artichokes,805
Spain,Artichokes,185796,Artichokes,305
Switzerland,Artichokes,3,Artichokes Sum,1538108
Syrian Arab Republic,Artichokes,9438,Asparagus,10164
Tunisia,Artichokes,26000,Asparagus,7581
Turkey,Artichokes,36368,Asparagus,2568
United States of America,Artichokes,44720,Asparagus,4737
Uzbekistan,Artichokes,3867,Asparagus,9502
Zambia,Artichokes,805,Asparagus,8723
Zimbabwe,Artichokes,305,Asparagus,10795
,Artichokes Sum,3,Asparagus,7682797
Argentina,Asparagus,10164,Asparagus,7679773
Australia,Asparagus,7581,Asparagus,3024
Austria,Asparagus,2568,Asparagus,42
Belgium,Asparagus,4737,Asparagus,146
Bulgaria,Asparagus,9502,Asparagus,795
Canada,Asparagus,8723,Asparagus,300
Chile,Asparagus,10795,Asparagus,1420
China,Asparagus,7682797,Asparagus,13
"China, mainland",Asparagus,7679773,Asparagus,20701
"China, Taiwan Province of",Asparagus,3024,Asparagus,120014
Colombia,Asparagus,42,Asparagus,4666
Costa Rica,Asparagus,146,Asparagus,5541
Czechia,Asparagus,795,Asparagus,16021
Denmark,Asparagus,300,Asparagus,109
Ecuador,Asparagus,1420,Asparagus,43719
Finland,Asparagus,13,Asparagus,29124
France,Asparagus,20701,Asparagus,402
Germany,Asparagus,120014,Asparagus,493
Greece,Asparagus,4666,Asparagus,216871
Hungary,Asparagus,5541,Asparagus,370
Iran (Islamic Republic of),Asparagus,16021,Asparagus,18600
Israel,Asparagus,109,Asparagus,1546
Italy,Asparagus,43719,Asparagus,378306
Japan,Asparagus,29124,Asparagus,2172
Kenya,Asparagus,402,Asparagus,2338
Lithuania,Asparagus,493,Asparagus,104
Mexico,Asparagus,216871,Asparagus,619
Morocco,Asparagus,370,Asparagus,233
Netherlands,Asparagus,18600,Asparagus,254
New Zealand,Asparagus,1546,Asparagus,59881
Peru,Asparagus,378306,Asparagus,612
Philippines,Asparagus,2172,Asparagus,25143
Poland,Asparagus,2338,Asparagus,788
R??union,Asparagus,104,Asparagus,258
Slovakia,Asparagus,619,Asparagus,145
Slovenia,Asparagus,233,Asparagus,5855
South Africa,Asparagus,254,Asparagus,31980
Spain,Asparagus,59881,Asparagus,279
Switzerland,Asparagus,612,Asparagus Sum,16409524
Thailand,Asparagus,25143,Avocados,3951
The former Yugoslav Republic of Macedonia,Asparagus,788,Avocados,67600
Tunisia,Asparagus,258,Avocados,1351
Turkey,Asparagus,145,Avocados,739
United Kingdom,Asparagus,5855,Avocados,12497
United States of America,Asparagus,31980,Avocados,1050
Zimbabwe,Asparagus,279,Avocados,195492
,Asparagus Sum,612,Avocados,69794
Argentina,Avocados,3951,Avocados,20
Australia,Avocados,67600,Avocados,30126
Bahamas,Avocados,1351,Avocados,137365
Barbados,Avocados,739,Avocados,122942
Bolivia (Plurinational State of),Avocados,12497,Avocados,122942
Bosnia and Herzegovina,Avocados,1050,Avocados,309431
Brazil,Avocados,195492,Avocados,9214
Cameroon,Avocados,69794,Avocados,11
Cayman Islands,Avocados,20,Avocados,12158
Central African Republic,Avocados,30126,Avocados,36462
Chile,Avocados,137365,Avocados,3164
China,Avocados,122942,Avocados,1197
"China, mainland",Avocados,122942,Avocados,65459
Colombia,Avocados,309431,Avocados,401
Congo,Avocados,9214,Avocados,601349
Cook Islands,Avocados,11,Avocados,16118
Costa Rica,Avocados,12158,Avocados,10537
C??te d'Ivoire,Avocados,36462,Avocados,64982
Cuba,Avocados,3164,Avocados,1906
Cyprus,Avocados,1197,Avocados,2199
Democratic Republic of the Congo,Avocados,65459,Avocados,120
Dominica,Avocados,401,Avocados,9073
Dominican Republic,Avocados,601349,Avocados,3199
Ecuador,Avocados,16118,Avocados,1556
El Salvador,Avocados,10537,Avocados,222
Ethiopia,Avocados,64982,Avocados,
France,Avocados,1906,Avocados,122184
French Guiana,Avocados,2199,Avocados,1383
French Polynesia,Avocados,120,Avocados,93201
Ghana,Avocados,9073,Avocados,1986
Greece,Avocados,3199,Avocados,304938
Grenada,Avocados,1556,Avocados,101500
Guadeloupe,Avocados,222,Avocados,2470
Guam,Avocados,,Avocados,176045
Guatemala,Avocados,122184,Avocados,8496
Guyana,Avocados,1383,Avocados,26433
Haiti,Avocados,93201,Avocados,424
Honduras,Avocados,1986,Avocados,1889354
Indonesia,Avocados,304938,Avocados,42256
Israel,Avocados,101500,Avocados,27003
Jamaica,Avocados,2470,Avocados,636
Kenya,Avocados,176045,Avocados,8399
Lebanon,Avocados,8496,Avocados,15602
Madagascar,Avocados,26433,Avocados,455394
Martinique,Avocados,424,Avocados,19572
Mexico,Avocados,1889354,Avocados,
Morocco,Avocados,42256,Avocados,977
New Zealand,Avocados,27003,Avocados,743
