Crop,Tonnes
Agave fibres nes Sum,40621
"Almonds, with shell Sum",3262181
"Anise, badian, fennel, coriander Sum",1238676
Apples Sum,133777757
Apricots Sum,3955025
Areca nuts Sum,1314055
Artichokes Sum,1538108
Asparagus Sum,16409524
Avocados Sum,5689985
Bambara beans Sum,164589
Bananas Sum,126604642
Barley Sum,143058349
"Bastfibres, other Sum",260113
"Beans, dry Sum",27973261
"Beans, green Sum",42300235
Berries nes Sum,1043479
Blueberries Sum,552505
"Brazil nuts, with shell Sum",119312
"Broad beans, horse beans, dry Sum",6068561
Buckwheat Sum,2800081
Cabbages and other brassicas Sum,105140715
Canary seed Sum,232523
Carobs Sum,158609
Carrots and turnips Sum,63286602
"Cashew nuts, with shell Sum",4898360
Cashewapple Sum,1921458
Cassava Sum,281896830
Cassava leaves Sum,71033
Castor oil seed Sum,1817619
Cauliflowers and broccoli Sum,35497466
"Cereals, nes Sum",6996426
Cherries Sum,2355489
"Cherries, sour Sum",1378215
Chestnut Sum,4140620
Chick peas Sum,12107287
Chicory roots Sum,459848
"Chillies and peppers, green Sum",51955744
Cinnamon (canella) Sum,300630
Cloves Sum,181765
"Cocoa, beans Sum",4466575
Coconuts Sum,59327215
"Coffee, green Sum",9335874
Coir Sum,1214119
"Cow peas, dry Sum",7004938
Cranberries Sum,683672
Cucumbers and gherkins Sum,142565785
Currants Sum,655028
Dates Sum,8619588
Eggplants (aubergines) Sum,83315572
Fibre crops nes Sum,280126
Figs Sum,1064784
Flax fibre and tow Sum,816527
Fonio Sum,645180
"Fruit, citrus nes Sum",19562374
"Fruit, fresh nes Sum",36040333
"Fruit, pome nes Sum",59586
"Fruit, stone nes Sum",984398
"Fruit, tropical fresh nes Sum",28650133
Garlic Sum,47836237
Ginger Sum,3763667
Gooseberries Sum,174308
"Grain, mixed Sum",3032816
Grapefruit (inc. pomelos) Sum,13736376
Grapes Sum,92281609
"Groundnuts, with shell Sum",60667978
"Hazelnuts, with shell Sum",769526
Hemp tow waste Sum,89404
Hempseed Sum,103772
Hops Sum,147955
Jojoba seed Sum,144
Jute Sum,3349777
Kapok fruit Sum,285228
Karite nuts (sheanuts) Sum,680824
Kiwi fruit Sum,6665157
Kola nuts Sum,274706
"Leeks, other alliaceous vegetables Sum",2255801
Lemons and limes Sum,19677017
Lentils Sum,6458849
Lettuce and chicory Sum,41712685
Linseed Sum,3286852
Lupins Sum,1284842
Maize Sum,1291944967
"Maize, green Sum",18218440
"Mangoes, mangosteens, guavas Sum",51279734
Manila fibre (abaca) Sum,106598
Mat?? Sum,937310
"Melons, other (inc.cantaloupes) Sum",47176482
Melonseed Sum,952286
Millet Sum,30353830
Mushrooms and truffles Sum,18588786
Mustard seed Sum,717379
"Nutmeg, mace and cardamoms Sum",122152
"Nuts, nes Sum",1087750
Oats Sum,23437561
Oil palm fruit Sum,300922920
Oilseeds nes Sum,6885253
Okra Sum,8900434
Olives Sum,19270115
"Onions, dry Sum",117076053
"Onions, shallots, green Sum",6758502
Oranges Sum,81738436
Papayas Sum,13207390
Peaches and nectarines Sum,39444653
Pears Sum,46845416
"Peas, dry Sum",15557228
"Peas, green Sum",32085130
Pepper (piper spp.) Sum,580849
Peppermint Sum,106253
Persimmons Sum,9419322
Pigeon peas Sum,4489873
Pineapples Sum,27887160
Pistachios Sum,1140875
Plantains and others Sum,35063803
Plums and sloes Sum,18726941
Poppy seed Sum,92611
Potatoes Sum,475949387
"Pulses, nes Sum",4093581
"Pumpkins, squash and gourds Sum",34325427
"Pyrethrum, dried Sum",9154
Quinces Sum,789916
Quinoa Sum,148720
Ramie Sum,202247
Rapeseed Sum,84137080
Raspberries Sum,795249
"Rice, paddy Sum",952052258
"Roots and tubers, nes Sum",10490884
"Rubber, natural Sum",13962904
Rye Sum,13469374
Safflower seed Sum,981112
Seed cotton Sum,81420535
Sesame seed Sum,6761135
Sisal Sum,310556
Sorghum Sum,66334860
Soybeans Sum,346860410
"Spices, nes Sum",2523477
Spinach Sum,51168999
Strawberries Sum,12920201
String beans Sum,1912691
Sugar beet Sum,285326548
Sugar cane Sum,2013721491
"Sugar crops, nes Sum",967207
Sunflower seed Sum,49932460
Sweet potatoes Sum,175984204
Tallowtree seed Sum,2047922
"Tangerines, mandarins, clementines, satsumas Sum",50107665
Taro (cocoyam) Sum,12016416
Tea Sum,8368892
"Tobacco, unmanufactured Sum",9471004
Tomatoes Sum,233466175
Triticale Sum,15659355
Tung nuts Sum,889952
Vanilla Sum,8826
"Vegetables, fresh nes Sum",460299747
"Vegetables, leguminous nes Sum",1679798
Vetches Sum,838867
"Walnuts, with shell Sum",5533428
Watermelons Sum,196266834
Wheat Sum,881156470
Yams Sum,65937598
Yautia (cocoyam) Sum,478950
