"Period","Chicago - Market value of good farmland - Percentage change - All","Chicago - Market value of good farmland - Percentage change from a year earlier - All","Chicago - Market value of good farmland - Trend expected during the next quarter - Down","Chicago - Market value of good farmland - Trend expected during the next quarter - Stable","Chicago - Market value of good farmland - Trend expected during the next quarter - Up","Chicago - Expected trend in real estate farm loan volume during the next quarter, compared to year earlier - Lower","Chicago - Expected trend in real estate farm loan volume during the next quarter, compared to year earlier - Same","Chicago - Expected trend in real estate farm loan volume during the next quarter, compared to year earlier - Higher","Richmond - Market value of good farmland - Percentage change - All","Richmond - Market value of good farmland - Percentage change from a year earlier - All","Richmond - Market value of good farmland - Trend expected during the next quarter - Down","Richmond - Market value of good farmland - Trend expected during the next quarter - Stable","Richmond - Market value of good farmland - Trend expected during the next quarter - Up","Richmond - Expected trend in real estate farm loan volume during the next quarter, compared to year earlier - Lower","Richmond - Expected trend in real estate farm loan volume during the next quarter, compared to year earlier - Same","Richmond - Expected trend in real estate farm loan volume during the next quarter, compared to year earlier - Higher","Dallas - Market value of good farmland - Percentage change - Dryland","Dallas - Market value of good farmland - Percentage change - Irrigated","Dallas - Market value of good farmland - Percentage change - Ranchland","Dallas - Market value of good farmland - Percentage change from a year earlier - Dryland","Dallas - Market value of good farmland - Percentage change from a year earlier - Irrigated","Dallas - Market value of good farmland - Percentage change from a year earlier - Ranchland","Dallas - Dallas - Expected trend in real estate farm loan volume during the next quarter, compared to year earlier - Lower","Dallas - Expected trend in real estate farm loan volume during the next quarter, compared to year earlier - Same","Dallas - Expected trend in real estate farm loan volume during the next quarter, compared to year earlier - Higher","Minneapolis - Market value of good farmland - Percentage change - Dryland","Minneapolis - Market value of good farmland - Percentage change - Irrigated","Minneapolis - Market value of good farmland - Percentage change - Ranchland","Minneapolis - Market value of good farmland - Percentage change from a year earlier - Dryland","Minneapolis - Market value of good farmland - Percentage change from a year earlier - Irrigated","Minneapolis - Market value of good farmland - Percentage change from a year earlier - Ranchland","Kansas City - Market value of good farmland - Percentage change - Dryland","Kansas City - Market value of good farmland - Percentage change - Irrigated","Kansas City - Market value of good farmland - Percentage change - Ranchland","Kansas City - Market value of good farmland - Percentage change from a year earlier - Dryland","Kansas City - Market value of good farmland - Percentage change from a year earlier - Irrigated","Kansas City - Market value of good farmland - Percentage change from a year earlier - Ranchland","San Francisco - Market value of good farmland - Percentage change - Dryland","San Francisco - Market value of good farmland - Percentage change - Irrigated","San Francisco - Market value of good farmland - Percentage change - Ranchland","San Francisco - Market value of good farmland - Percentage change from a year earlier - Dryland","San Francisco - Market value of good farmland - Percentage change from a year earlier - Irrigated","San Francisco - Market value of good farmland - Percentage change from a year earlier - Ranchland"
"1991Q1",1,2,8,82,11,19,58,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.16,1.65,0.95,2.05,4.46,3.4,.,.,.,.,.,.
"1991Q2",0,2,13,81,6,29,57,14,.,.,.,.,.,.,.,.,0.76,2.13,1.24,.,.,.,.,.,.,.,.,.,.,.,.,0.85,-0.29,1.44,1.6,3.65,3.51,.,.,.,.,.,.
"1991Q3",0,2,13,77,10,24,63,13,.,.,.,.,.,.,.,.,-0.94,-2.38,-0.06,.,.,.,22.99,67.59,9.42,.,.,.,.,.,.,-0.41,-0.39,-0.53,1.09,2.49,2.13,.,.,.,.,.,.
"1991Q4",0,1,13,77,10,26,51,23,.,.,.,.,.,.,.,.,-0.88,-3.1,-1.92,.,.,.,28.4,62.14,9.46,.,.,.,.,.,.,-0.86,0.73,-0.26,-0.58,1.7,1.59,.,.,.,.,.,.
"1992Q1",1,1,4,83,13,18,56,26,.,.,.,.,.,.,.,.,-1.18,-3.38,0.88,-2.23,-6.66,0.11,27.38,64.95,7.67,.,.,.,.,.,.,2.49,0.59,2.64,2.06,0.64,3.3,.,.,.,.,.,.
"1992Q2",0,1,4,86,10,20,65,15,-6.48,.,4.3,91.3,4.3,18.2,72.7,9.1,-0.84,1.41,-0.81,-3.79,-7.31,-1.91,27.37,66.95,5.67,.,.,.,.,.,.,0.5,1.82,1.37,1.7,2.77,3.23,.,.,.,.,.,.
"1992Q3",0,2,5,84,11,16,67,17,3.51,.,.,.,.,.,.,.,0.38,3.48,-1.06,-2.51,-1.75,-2.9,23.06,70.44,6.49,.,.,.,.,.,.,0.16,0.11,-0.57,2.28,3.28,3.2,.,.,.,.,.,.
"1992Q4",0,2,3,82,15,16,65,18,10.08,.,83.3,17.4,0,18.2,81.8,0,-0.12,5.66,1.57,-1.76,7.14,0.56,22.63,60.64,15.92,.,.,.,.,.,.,0.84,1.98,2.34,4.03,4.57,5.88,.,.,.,.,.,.
"1993Q1",1,3,3,79,18,15,63,22,-2.64,3.75,0,96,4,24,76,0,1.15,1.53,0.7,0.56,12.57,0.38,17.1,64.2,18.69,.,.,.,.,.,.,0.01,0.88,2,1.51,4.87,5.21,.,.,.,.,.,.
"1993Q2",1,3,9,78,13,23,62,15,-4.59,5.84,0,100,0,9.1,86.4,4.5,-0.07,-2.35,2.23,1.34,8.4,3.46,13.26,72.77,13.07,.,.,.,.,.,.,1.62,1,1.79,2.64,4.03,5.65,.,.,.,.,.,.
"1993Q3",1,3,5,74,21,17,65,18,-2.52,-0.32,0,100,0,33,62,5,1.24,-4.68,-3.03,2.22,-0.15,1.4,14.8,71.86,13.33,.,.,.,.,.,.,-0.44,-0.51,1.2,2.02,3.38,7.53,.,.,.,.,.,.
"1993Q4",1,3,4,66,30,14,57,29,0.49,-9.01,5,91,5,19,71,10,1.09,2.75,5.6,3.45,-2.91,5.42,8.15,74.1,16.9,.,.,.,.,.,.,1.61,0.39,2.07,2.81,1.77,7.25,.,.,.,.,.,.
"1994Q1",2,5,1,63,37,13,57,30,7.73,0.68,4,88,8,13,78,9,1.96,1.74,-1.14,4.27,-2.7,3.49,12.37,74.59,13.03,.,.,.,.,.,.,1.49,2.91,2.89,4.33,3.81,8.19,.,.,.,.,.,.
"1994Q2",1,6,2,70,28,16,66,18,-7.68,-2.59,0,100,0,10,80,10,0.91,2.98,0.84,5.29,2.6,2.08,16.96,73.48,9.56,.,.,.,.,.,.,0.41,0.73,1.14,3.09,3.53,7.49,.,.,.,.,.,.
"1994Q3",1,7,4,59,37,17,64,19,3.87,3.8,4,92,4,17,74,9,0.04,-2.42,-5.23,4.04,5.05,-0.24,13.93,71.91,14.16,.,.,.,.,.,.,2.33,1.79,1.08,5.96,5.94,7.37,.,.,.,.,.,.
"1994Q4",1,7,3,65,32,19,63,18,-4.6,-1.45,5,95,0,15,80,5,1.04,2.7,9.33,3.99,5,3.28,10.83,79.01,10.16,.,.,.,.,.,.,2.02,-0.19,1.37,6.39,5.33,6.62,.,.,.,.,.,.
"1995Q1",1,5,2,67,31,18,60,22,17.6,7.58,4,96,0,17,83,0,-1.05,0.88,1.46,0.93,4.11,6,9.69,77.96,12.36,.,.,.,.,.,.,1.9,1.85,2.51,6.81,4.25,6.23,.,.,.,.,.,.
"1995Q2",0,5,3,73,23,18,69,13,-6.4,9.08,0,96,4,26,74,0,1,3.77,8.76,1.02,4.91,14.33,16.94,72.85,10.21,.,.,.,.,.,.,0.66,0.69,-0.37,7.08,4.2,4.64,.,.,.,.,.,.
"1995Q3",1,4,3,65,31,16,63,21,-8,-3.39,5,91,5,16,74,11,-1.42,-3.27,3.11,-0.45,3.99,24.39,14.09,73.31,12.6,.,.,.,.,.,.,1.16,0.27,1.65,5.86,2.64,5.23,.,.,.,.,.,.
"1995Q4",2,5,1,41,58,11,60,29,7.99,9.36,0,100,0,26,68,5,0.35,-0.4,-11.24,-1.13,0.84,0.99,20.38,67.21,12.4,.,.,.,.,.,.,1.23,0.79,1.03,5.03,3.65,4.87,.,.,.,.,.,.
"1996Q1",4,9,0,30,69,12,52,36,-2.62,-9.44,0,95,5,17,83,0,-1.75,-1.35,-1.1,-1.83,-1.38,-1.56,29.54,58.48,11.98,.,.,.,.,.,.,-1.63,-2.18,0.96,1.4,-0.45,3.29,.,.,.,.,.,.
"1996Q2",1,11,1,42,57,11,63,26,2.76,-0.57,2,86,12,16,75,9,-0.47,-0.11,-0.58,-3.26,-5.07,-10.01,37.92,52.44,9.64,.,.,.,.,.,.,0.24,1.06,0.6,0.99,-0.09,4.3,.,.,.,.,.,.
"1996Q3",3,12,1,35,64,9,58,33,2.99,11.3,3,82,15,10,80,10,1.59,-1.33,-0.08,-0.3,-3.16,-12.79,23.89,61.82,14.29,.,.,.,.,.,.,2.01,1.6,2.71,1.83,1.24,5.38,.,.,.,.,.,.
"1996Q4",1,10,6,61,33,16,59,25,-15.39,-12.8,0,83,17,5,90,5,1.38,1.23,3.69,0.72,-1.57,1.87,17,69.06,13.93,.,.,.,.,.,.,1.22,1.37,1.4,1.82,1.82,5.77,.,.,.,.,.,.
"1997Q1",2,9,2,64,34,11,61,29,16.13,3.99,2,81,17,11,80,9,0.9,2.77,-2.19,3.43,2.54,0.75,15.37,65.35,19.28,.,.,.,.,.,.,1.01,1.54,3.69,4.55,5.69,8.62,.,.,.,.,.,.
"1997Q2",1,8,8,64,27,20,63,17,2.95,4.18,5,77,18,9,80,11,-0.82,0.43,2.27,3.07,3.1,3.64,11.94,71.51,16.56,.,.,.,.,.,.,0.97,1.31,0.67,5.3,5.96,8.71,.,.,.,.,.,.
