CountryCode,Country,Year,PeriodInDate,CountryImportCode,CountryImport,Value
9300,Commonwealth of Independent States,2000,01/01/2000,9100,Developed Economies,80405136893.8337
9300,Commonwealth of Independent States,2000,01/01/2000,643,Russian Federation,11444171267.9785
9300,Commonwealth of Independent States,2000,01/01/2000,9700,Eastern Asia,9136570686.64851
9300,Commonwealth of Independent States,2000,01/01/2000,9740,Western Asia,9019729332.4657
9300,Commonwealth of Independent States,2000,01/01/2000,112,Belarus,5924384997.60381
9300,Commonwealth of Independent States,2000,01/01/2000,842,USA,5787247952.99906
9300,Commonwealth of Independent States,2000,01/01/2000,826,United Kingdom,5454344474.9494
9300,Commonwealth of Independent States,2000,01/01/2000,528,Netherlands,5067051437.19227
9300,Commonwealth of Independent States,2000,01/01/2000,757,Switzerland,4821092470.6354
9300,Commonwealth of Independent States,2000,01/01/2000,9620,The Caribbean,4737137404.84825
9300,Commonwealth of Independent States,2000,01/01/2000,9720,Southern Asia,2994962617.14702
9300,Commonwealth of Independent States,2000,01/01/2000,428,Latvia,2376747267.4643
9300,Commonwealth of Independent States,2000,01/01/2000,251,France,2358878185.36932
9300,Commonwealth of Independent States,2000,01/01/2000,752,Sweden,1775546761.97564
9300,Commonwealth of Independent States,2000,01/01/2000,9730,South-Eastern Asia,1716889053.29905
9300,Commonwealth of Independent States,2000,01/01/2000,233,Estonia,1526342118.32144
9300,Commonwealth of Independent States,2000,01/01/2000,300,Greece,1377774261.54074
9300,Commonwealth of Independent States,2000,01/01/2000,410,Rep. of Korea,1293673685.51579
9300,Commonwealth of Independent States,2000,01/01/2000,724,Spain,1268616828.48543
9300,Commonwealth of Independent States,2000,01/01/2000,9610,Latin America,1248222615.64244
9300,Commonwealth of Independent States,2000,01/01/2000,100,Bulgaria,1000655512.78219
9300,Commonwealth of Independent States,2000,01/01/2000,860,Uzbekistan,691266716.477384
9300,Commonwealth of Independent States,2000,01/01/2000,760,Syria,281651378.900144
9300,Commonwealth of Independent States,2000,01/01/2000,422,Lebanon,264520087.99087
9300,Commonwealth of Independent States,2000,01/01/2000,891,Serbia and Montenegro,263355944.725741
9300,Commonwealth of Independent States,2000,01/01/2000,417,Kyrgyzstan,250029003.68611
9300,Commonwealth of Independent States,2000,01/01/2000,566,Nigeria,165470187
9300,Commonwealth of Independent States,2000,01/01/2000,344,"China, Hong Kong SAR",150104245.05129
9300,Commonwealth of Independent States,2000,01/01/2000,504,Morocco,145358876.740991
9300,Commonwealth of Independent States,2000,01/01/2000,705,Slovenia,144459638.898879
9300,Commonwealth of Independent States,2000,01/01/2000,682,Saudi Arabia,94080164.7108666
9300,Commonwealth of Independent States,2000,01/01/2000,231,Ethiopia,73775845
9300,Commonwealth of Independent States,2000,01/01/2000,408,DPR Korea,49247762
9300,Commonwealth of Independent States,2000,01/01/2000,887,Yemen,44747561
9300,Commonwealth of Independent States,2000,01/01/2000,710,South Africa,42908900.1240204
9300,Commonwealth of Independent States,2000,01/01/2000,320,Guatemala,40391551
9300,Commonwealth of Independent States,2000,01/01/2000,24,Angola,35899703.9801822
9300,Commonwealth of Independent States,2000,01/01/2000,222,El Salvador,31308895.1350012
9300,Commonwealth of Independent States,2000,01/01/2000,404,Kenya,25034668
9300,Commonwealth of Independent States,2000,01/01/2000,340,Honduras,21280612
9300,Commonwealth of Independent States,2000,01/01/2000,862,Venezuela,21140088
9300,Commonwealth of Independent States,2000,01/01/2000,104,Myanmar,17533495
9300,Commonwealth of Independent States,2000,01/01/2000,9900,Other,17273740.6869641
9300,Commonwealth of Independent States,2000,01/01/2000,899,"Areas, nes",17259150.6869641
9300,Commonwealth of Independent States,2000,01/01/2000,858,Uruguay,16410933.5307776
9300,Commonwealth of Independent States,2000,01/01/2000,736,Fmr Sudan,13482824.3337949
9300,Commonwealth of Independent States,2000,01/01/2000,414,Kuwait,12996044.6607168
9300,Commonwealth of Independent States,2000,01/01/2000,324,Guinea,9402344
9300,Commonwealth of Independent States,2000,01/01/2000,120,Cameroon,8842505
9300,Commonwealth of Independent States,2000,01/01/2000,512,Oman,7609253.90780307
9300,Commonwealth of Independent States,2000,01/01/2000,834,United Rep. of Tanzania,6097874
9300,Commonwealth of Independent States,2000,01/01/2000,674,San Marino,5303500
9300,Commonwealth of Independent States,2000,01/01/2000,516,Namibia,5095108
9300,Commonwealth of Independent States,2000,01/01/2000,524,Nepal,4892705
9300,Commonwealth of Independent States,2000,01/01/2000,9800,Oceania,4395315.35560545
9300,Commonwealth of Independent States,2000,01/01/2000,646,Rwanda,3719711
9300,Commonwealth of Independent States,2000,01/01/2000,232,Eritrea,3023543
9300,Commonwealth of Independent States,2000,01/01/2000,716,Zimbabwe,2764749
9300,Commonwealth of Independent States,2000,01/01/2000,854,Burkina Faso,2083884
9300,Commonwealth of Independent States,2000,01/01/2000,530,Netherland Antilles,1995977
9300,Commonwealth of Independent States,2000,01/01/2000,226,Equatorial Guinea,1821896.56890246
9300,Commonwealth of Independent States,2000,01/01/2000,418,Lao People's Dem. Rep.,1524712
9300,Commonwealth of Independent States,2000,01/01/2000,659,Saint Kitts and Nevis,1505980
9300,Commonwealth of Independent States,2000,01/01/2000,570,Niue,1177893
9300,Commonwealth of Independent States,2000,01/01/2000,116,Cambodia,1003288.2472967
9300,Commonwealth of Independent States,2000,01/01/2000,234,Faeroe Isds,639850.83123345
9300,Commonwealth of Independent States,2000,01/01/2000,332,Haiti,630958
9300,Commonwealth of Independent States,2000,01/01/2000,678,Sao Tome and Principe,540407
9300,Commonwealth of Independent States,2000,01/01/2000,706,Somalia,447981
9300,Commonwealth of Independent States,2000,01/01/2000,740,Suriname,182020
9300,Commonwealth of Independent States,2000,01/01/2000,108,Burundi,170404
9300,Commonwealth of Independent States,2000,01/01/2000,562,Niger,105899.09956207
9300,Commonwealth of Independent States,2000,01/01/2000,894,Zambia,84321.32969126
9300,Commonwealth of Independent States,2000,01/01/2000,508,Mozambique,55520.29756809
9300,Commonwealth of Independent States,2000,01/01/2000,876,Wallis and Futuna Islands,50500
9300,Commonwealth of Independent States,2000,01/01/2000,20,Andorra,25067
9300,Commonwealth of Independent States,2000,01/01/2000,328,Guyana,6535
9300,Commonwealth of Independent States,2000,01/01/2000,500,Montserrat,764.41200611
9300,Commonwealth of Independent States,2001,01/01/2001,9120,Europe,68336543034.5211
9300,Commonwealth of Independent States,2001,01/01/2001,9300,Commonwealth of Independent States,30229847438.6957
9300,Commonwealth of Independent States,2001,01/01/2001,9700,Eastern Asia,9240550024.41677
9300,Commonwealth of Independent States,2001,01/01/2001,9130,North America,6674483635.97226
9300,Commonwealth of Independent States,2001,01/01/2001,804,Ukraine,6653106105.54852
9300,Commonwealth of Independent States,2001,01/01/2001,528,Netherlands,5377035926.66909
9300,Commonwealth of Independent States,2001,01/01/2001,9600,Latin America and the Caribbean,4837893696.1207
9300,Commonwealth of Independent States,2001,01/01/2001,9620,The Caribbean,3783041005.65483
9300,Commonwealth of Independent States,2001,01/01/2001,9110,Asia-Pacific,2599228655.27461
9300,Commonwealth of Independent States,2001,01/01/2001,703,Slovakia,2508610247.11855
9300,Commonwealth of Independent States,2001,01/01/2001,9200,South-Eastern Europe,2499385495.06333
9300,Commonwealth of Independent States,2001,01/01/2001,428,Latvia,1736823494.87507
9300,Commonwealth of Independent States,2001,01/01/2001,364,Iran,1674380284.34664
9300,Commonwealth of Independent States,2001,01/01/2001,642,Romania,1170825667.26688
9300,Commonwealth of Independent States,2001,01/01/2001,9610,Latin America,1054852690.46587
9300,Commonwealth of Independent States,2001,01/01/2001,784,United Arab Emirates,746425229.54855
9300,Commonwealth of Independent States,2001,01/01/2001,702,Singapore,696935211.588688
9300,Commonwealth of Independent States,2001,01/01/2001,818,Egypt,672042727.993625
9300,Commonwealth of Independent States,2001,01/01/2001,498,Rep. of Moldova,564096184.84414
9300,Commonwealth of Independent States,2001,01/01/2001,9500,Sub-Saharan Africa,547478459.29413
9300,Commonwealth of Independent States,2001,01/01/2001,368,Iraq,506586981
9300,Commonwealth of Independent States,2001,01/01/2001,762,Tajikistan,424882317.309461
9300,Commonwealth of Independent States,2001,01/01/2001,12,Algeria,378234834
9300,Commonwealth of Independent States,2001,01/01/2001,795,Turkmenistan,367438669.387183
9300,Commonwealth of Independent States,2001,01/01/2001,422,Lebanon,348390647.687155
9300,Commonwealth of Independent States,2001,01/01/2001,31,Azerbaijan,311098082.456477
9300,Commonwealth of Independent States,2001,01/01/2001,704,Viet Nam,296499602.661424
9300,Commonwealth of Independent States,2001,01/01/2001,579,Norway,254408580.901294
9300,Commonwealth of Independent States,2001,01/01/2001,764,Thailand,252644550.004966
9300,Commonwealth of Independent States,2001,01/01/2001,496,Mongolia,232918570.14101
9300,Commonwealth of Independent States,2001,01/01/2001,360,Indonesia,165469279.659324
9300,Commonwealth of Independent States,2001,01/01/2001,4,Afghanistan,73483448.7229111
9300,Commonwealth of Independent States,2001,01/01/2001,807,TFYR of Macedonia,58377883.9443049
9300,Commonwealth of Independent States,2001,01/01/2001,442,Luxembourg,39552364.6889782
9300,Commonwealth of Independent States,2001,01/01/2001,736,Fmr Sudan,38902303.5451097
9300,Commonwealth of Independent States,2001,01/01/2001,32,Argentina,38231636.9873316
9300,Commonwealth of Independent States,2001,01/01/2001,530,Neth. Antilles,36539916
