CountryCode,Country,Year,PeriodInDate,CommodityGroup,CountryImportCode,CountryImport,Value
9700,Eastern Asia,2001,01/01/2001,Total,9100,Developed Economies,380444650646.804
9600,Latin America and the Caribbean,2003,01/01/2003,Total,9100,Developed Economies,271551686806.412
9600,Latin America and the Caribbean,2000,01/01/2000,Total,9100,Developed Economies,265393919202.723
9600,Latin America and the Caribbean,2002,01/01/2002,Total,9100,Developed Economies,252930122212.784
9610,Latin America,2002,01/01/2002,Total,9100,Developed Economies,243213831611.316
9610,Latin America,2000,01/01/2000,Total,9130,North America,208094330406.979
9610,Latin America,2000,01/01/2000,Total,842,USA,202332412737.268
9730,South-Eastern Asia,2002,01/01/2002,Total,9100,Developed Economies,197177514568.083
9610,Latin America,2003,01/01/2003,Total,842,USA,197023424223.751
9700,Eastern Asia,2003,01/01/2003,Total,842,USA,196745613123.022
9600,Latin America and the Caribbean,2001,01/01/2001,Total,9130,North America,196615113979.053
9600,Latin America and the Caribbean,2002,01/01/2002,Total,842,USA,196024451294.637
9610,Latin America,2002,01/01/2002,Total,9130,North America,194115984387.199
9610,Latin America,2002,01/01/2002,Total,842,USA,188955031965.843
9700,Eastern Asia,2002,01/01/2002,Total,9130,North America,185594769870.476
9700,Eastern Asia,2000,01/01/2000,Total,9130,North America,183868836775.635
9700,Eastern Asia,2000,01/01/2000,Total,842,USA,173205745199.029
9700,Eastern Asia,2001,01/01/2001,Total,842,USA,157198685468.763
9740,Western Asia,2002,01/01/2002,Total,9100,Developed Economies,132078448994.399
9740,Western Asia,2001,01/01/2001,Total,9100,Developed Economies,127409160125.8
9700,Eastern Asia,2002,01/01/2002,Total,9120,Europe,126048270669.69
9700,Eastern Asia,2000,01/01/2000,Total,9120,Europe,125367012081.895
9300,Commonwealth of Independent States,2003,01/01/2003,Total,9100,Developed Economies,101223431254.747
9300,Commonwealth of Independent States,2002,01/01/2002,Total,9100,Developed Economies,82528091266.1827
9300,Commonwealth of Independent States,2000,01/01/2000,Total,9100,Developed Economies,80405136893.8337
9730,South-Eastern Asia,2002,01/01/2002,Total,9130,North America,74493126704.3
9300,Commonwealth of Independent States,2002,01/01/2002,Total,9120,Europe,73256273520.1947
9730,South-Eastern Asia,2002,01/01/2002,Total,842,USA,71789548325.1372
9300,Commonwealth of Independent States,2001,01/01/2001,Total,9120,Europe,68336543034.5211
9740,Western Asia,2002,01/01/2002,Total,9120,Europe,65424558629.507
9740,Western Asia,2001,01/01/2001,Total,9120,Europe,60085361787.9914
9730,South-Eastern Asia,2002,01/01/2002,Total,9120,Europe,59702294369.0395
9500,Sub-Saharan Africa,2001,01/01/2001,Total,9100,Developed Economies,55851647783.2067
9720,Southern Asia,2002,01/01/2002,Total,9100,Developed Economies,52166637440.2655
9600,Latin America and the Caribbean,2002,01/01/2002,Total,9120,Europe,43846190679.8853
9740,Western Asia,2002,01/01/2002,Total,9130,North America,43727065163.1342
9610,Latin America,2002,01/01/2002,Total,9120,Europe,41824343409.5597
9610,Latin America,2000,01/01/2000,Total,9120,Europe,41279829990.5819
9740,Western Asia,2001,01/01/2001,Total,9130,North America,40593840666.7803
9400,Northern Africa,2001,01/01/2001,Total,9100,Developed Economies,36874062614.5141
9500,Sub-Saharan Africa,2001,01/01/2001,Total,9120,Europe,33587441438.5066
9400,Northern Africa,2001,01/01/2001,Total,9120,Europe,32274526234.8048
9740,Western Asia,2002,01/01/2002,Total,842,USA,28316173765.7202
9740,Western Asia,2001,01/01/2001,Total,842,USA,27149290542.4685
9720,Southern Asia,2002,01/01/2002,Total,9120,Europe,26075106459.5359
9700,Eastern Asia,2002,01/01/2002,Total,276,Germany,25956453758.1798
9300,Commonwealth of Independent States,2002,01/01/2002,Total,9320,Europe,25146965280.6144
9700,Eastern Asia,2000,01/01/2000,Total,826,United Kingdom,24714660006.7363
9700,Eastern Asia,2002,01/01/2002,Total,826,United Kingdom,22664126009.7159
9500,Sub-Saharan Africa,2000,01/01/2000,Total,842,USA,21638265264.5893
9700,Eastern Asia,2002,01/01/2002,Total,399,OPEC,20319234972.0674
9500,Sub-Saharan Africa,2001,01/01/2001,Total,9130,North America,18625328969.4679
9720,Southern Asia,2002,01/01/2002,Total,9130,North America,18041947937.7251
